token_name,token_symbol,is_open_source,is_honeypot,transfer_pausable,sell_tax,buy_tax,dex_liquidity
PepeATH,PepeATH,1,0.0,0.0,,0.09,0.00000000
Nexon,Nexon,0,,,0.0,0.05,0.00225156
Shardeum,SHM,0,,,,0.12,0.26849062
Pepe Japan,$PepeJAPAN,1,1.0,0.0,0.0,0.0,0.02074231
AdventureGold,AGLD,1,1.0,0.0,0.0,0.0,0.03179333
Psyop Coin,PSYOP,1,1.0,0.0,0.0,0.001,0.00303810
Käärijä,KAAR,1,1.0,0.0,0.0,0.001,0.00362407
MissPiggy,PIGGY,1,1.0,0.0,0.0,0.001,0.00315825
PepeGPT,PepeGPT,1,1.0,0.0,,0.0,0.00000000
LADYS,LADYS,1,0.0,0.0,0.9866,0.1335,0.00000000
RUPIAHTOKEN,IDRT,1,1.0,0.0,,0.0,0.00000000
President Ron DeSantis,RON,1,1.0,0.0,0.0,0.0,0.05367547
BitUP,BITUP,1,1.0,0.0,,0.0,0.00000000
Send Coin,SENDIT,0,,,0.0007,0.12,0.00086586
My Heart Is Cold,COLD,1,0.0,0.0,0.0,0.0,0.08924104
Pineapple Under The Sea,PINEAPPLE,1,0.0,0.0,0.0,0.0,0.00010743
ATTACKONPEPE,AOPEPE,1,0.0,0.0,0.9852,0.08,0.62875396
Lord Farquad,FARQUAD,1,0.0,0.0,0.0,0.0,0.15683950
WaiterPEPE,WPEPE,1,1.0,0.0,0.0001,0.02,0.01199387
fantasy coin,FTY,1,0.0,0.0,,,0.07740666
LimeWire,LMWR,0,,,0.0,0.0,0.33217366
OGGYMoon,OGGYMoon,1,1.0,0.0,0.9965,0.05,0.00032967
DecentralGames,DG,1,1.0,0.0,0.0,0.0,0.31533000
The QWAN,QWAN,1,0.0,0.0,0.0,0.0,0.01994731
Simon,SIMON,1,0.0,0.0,0.0,0.0,0.02462273
Gary Ai,GARYAI,1,0.0,0.0,0.0,0.0,0.01349133
Lumina Coin,LUMINA,1,0.0,0.0,0.0,0.0,0.00019960
TamagotchiKingdom,TAKI,1,1.0,0.0,,0.0,0.00000000
Asian World,AWORLD,1,0.0,0.0,0.0,0.0,0.00000000
Finmeta,FINM,1,1.0,0.0,0.0,0.0,0.00000000
ILCAPO,CAPO,1,0.0,0.0,0.9805,0.0,0.01611243
PowerLedger,POWR,1,1.0,0.0,,0.0,0.00000000
FARO,FARO,0,,,,0.0,0.00000000
Archway,ARCH,1,1.0,0.0,0.0,0.0,0.04780206
SUPERLAUNCH,SLA,0,1.0,,,0.0,0.00000000
Candle catcher,CNDL,1,1.0,0.0,0.0007,0.005,0.52427651
AGMK,AGMK,1,1.0,0.0,0.9968,0.0461,0.00000000
EbayAi,EbayAi,1,0.0,0.0,0.0003,0.0,0.02894677
Pepe Meta Ai,PEPEMETAAI,1,0.0,0.0,0.0,0.0,0.00006366
Mr Crocker,CROCKER,1,0.0,0.0,0.0,0.0,0.01283128
MeetBrett,BLEPE,1,1.0,0.0,,0.0,0.00000000
YON,YON,0,,,,0.0,0.00000000
Aleo MESHk,AMH,1,1.0,0.0,0.0,0.0,0.32801223
PPZ ICO,PPZ,0,,,,0.0,0.00000000
BrightHedge,BRIG,1,1.0,0.0,0.0,0.0,0.00000000
Maverick Protocol,MAV,0,,,,0.0,0.00133971
Edward,EDWARD,0,,,0.6707,0.07,0.06172772
FTD,FTD,1,0.0,1.0,0.8993,0.05,0.07582159
TRUMP TOWER,TRUMPTOWER,1,0.0,0.0,0.79,0.0,0.00119258
BabyBNBPEPE,BabyBNBPEPE,1,0.0,0.0,0.9931,0.06,0.11218938
MemeMaster,MEME,1,1.0,0.0,0.0,0.0,0.00000000
Pepe Grow,$PG,1,0.0,1.0,0.0497,0.05,467.34271316
League Of Pets,GLORY,1,1.0,0.0,0.0001,0.001,0.32171211
CryptoNova,CNVA,1,1.0,0.0,0.0,0.0,0.00000000
Lisprocoin,Lsp 20,1,1.0,0.0,0.0,0.001,0.00220905
Wistaverse,WISTA,1,1.0,0.0,,0.0,3.15051300
Tickle,TICKL,1,0.0,0.0,0.0,0.0,0.01382412
Pepe Superman,SUPERPEPE,1,0.0,0.0,0.0,0.0,0.00008184
PEPE2.0,PEPE2.0,1,0.0,0.0,,0.0,0.00000000
Pepe CEO,PEPECEO,1,1.0,0.0,0.0,0.0,0.70686056
Fuck,Fuck,1,0.0,0.0,0.0,0.0,0.00741999
Shiba Kingdom,SHK,1,1.0,0.0,0.0,0.0,0.00000000
ProsperityToken,PRPT,1,1.0,0.0,,0.0,0.00000000
HuDex,HU,0,,,0.0061,0.08,0.22203996
DVF,DVF,1,0.0,0.0,0.0,0.0,0.04359530
KONG AI,KONGAI,1,0.0,0.0,0.6926,0.0,0.00071779
Harry From Target,HARRY,1,0.0,0.0,0.0,0.0,0.01646779
TUZKI,TUZKI,1,1.0,0.0,0.0,0.001,0.00209749
Metazen,META,0,1.0,,0.0,0.0,0.00000000
CatxDog,CATDOG,1,0.0,0.0,0.0425,0.05,613.64947774
LawBlocks,LBT,1,1.0,0.0,0.0,0.0,0.31453000
Chef,Chef,1,0.0,0.0,0.9956,0.17,0.04378732
BOB Original Version,BOV,1,0.0,0.0,0.0496,0.05,331.12027287
World,WORLD,1,1.0,0.0,0.0,0.0,0.36407958
TWEETY,TWEETY,1,1.0,0.0,0.0,0.001,0.00334872
TAPDAO,TAPDAO,0,,,0.0,0.002,0.04699248
Custodiy,CTY,1,,,0.0,0.0,0.00000000
PEPELADY,PEPELADY,1,1.0,,,1.0,0.00015458
WealthWave,WEAL,1,1.0,0.0,0.0,0.0,0.00000000
BOY,BOY,1,1.0,0.0,0.0,0.0,0.00000274
Sweet Home Alabama,SHA,1,0.0,1.0,0.0016,0.1,0.01422756
Vita Inu,VINU,0,,,0.0,0.0,0.31559415
Hyve,RBW,1,1.0,0.0,,0.0,0.00000000
Wrapped Ordichains,WOICH,1,1.0,0.0,0.0,0.0,0.28558368
Pepe Smart Chain,PSC,0,,,0.0,0.0,0.50859030
KryptonDAO,KRD,1,1.0,0.0,,0.0,0.00000000
QWAN,QWAN,1,0.0,0.0,0.0012,0.04,0.29500337
Budget Bridgeway,BUDGET,1,1.0,0.0,0.0,0.0,0.00000000
UEFA COIN,UEFA,0,,,0.4728,0.0,0.00108782
Alterna Network,ALTN,0,,,1.0,0.32,0.05506374
AL,AL,1,0.0,0.0,0.9969,0.0456,0.00000000
Fexanium,FXM,1,1.0,0.0,0.0,0.001,0.00241125
Pepe Frog,PEPE FROG,1,0.0,0.0,0.0,0.0,0.01447204
Woofie,WOOFIE,1,1.0,0.0,0.0,0.0,0.04225256
SpinadaCash,SPIN,1,1.0,0.0,,0.0,0.00000000
Brain AI,BRAIN AI,1,0.0,0.0,0.0,0.0,0.01670508
Embras,EMB,1,1.0,0.0,0.0,0.0,0.00000000
ZkApe,ZkApe,1,1.0,0.0,0.0,0.0,0.82863993
Wanda,WANDA,1,0.0,0.0,0.0,0.0,0.00060387
PEPE,PEPE,1,0.0,1.0,0.1753,0.0,0.32873044
OreoFi,OREO,1,1.0,0.0,,0.0,0.00000000
Len,LEONARD,1,0.0,0.0,0.0,0.0,0.00000000
Lola,LOLA,1,0.0,0.0,0.0,0.0,0.00011982
babyPOV,babyPOV,1,0.0,0.0,0.9999,0.01,0.21361870
Hero PEPE,HPEPE,1,0.0,0.0,0.0,0.0,0.00031303
PieShareToken,PIE,1,1.0,0.0,,0.0,0.00000000
Ben,BEN,1,1.0,0.0,0.0,0.001,0.00487734
HareSwap,HARESWAP,1,1.0,0.0,,0.0,0.00000000
Useless,Useless,1,1.0,0.0,,0.0,0.00000000
MCY,MCY,1,0.0,0.0,0.0,0.04,0.00000000
Tomcat Inu,TOMC,1,0.0,0.0,0.0,0.0,0.00000000
BSK,BSK,1,0.0,0.0,0.0,0.0,0.03849383
Neopro,NEO,1,1.0,0.0,0.0,0.0,0.00000000
The Bebe,BEBE,1,1.0,,0.0,0.0,0.42242476
Green Whale Challenge,GWC,1,1.0,0.0,0.0,0.001,0.00273839
Papa Elon,PAPA ELON,1,0.0,0.0,0.0,0.0,0.04618684
HermesProtocol,HERMES,1,1.0,0.0,,0.0,0.00000000
Caroline,CARO,1,0.0,0.0,0.0,0.0,0.01634304
PSYOP.BET,PSY,1,1.0,0.0,0.0,0.0,0.12514259
PEPEWOJAK,PEPEWO,1,0.0,0.0,0.0523,0.0,12553.13706484
Space Oggy Inu,SOGGY,1,0.0,0.0,0.0063,0.1,0.17226891
Balderunder,BDUR,1,0.0,1.0,0.0,0.0,0.40089483
Arthrocoin,ATKT,1,1.0,0.0,,0.0,0.00000000
PETROPEPE,PETROPEPE,1,0.0,0.0,0.0395,0.0,83.66861690
